Longitude,Latitude,Power
12.523406,55.784771,-41.2567142159004
12.523447,55.784847,-40.0798755378728
12.523492,55.784918,-38.719780525806
12.523585,55.784954,-35.7666573565652
12.523702,55.784947,-33.3173350722691
12.522925,55.791265,-31.2666955533164
12.522666,55.79131,-29.8005644928034
12.52241,55.791358,-28.1205782437534
12.522162,55.791404,-26.9998597090421
12.521965,55.79144,-25.8040530529909
12.521831,55.791482,-25.0618373227406
12.521803,55.791545,-24.3403854255498
12.521833,55.791612,-23.9588485312368
12.521858,55.791673,-23.6838138581476
12.521805,55.791425,-23.6243891177887
12.521946,55.791396,-23.6982834586674
12.522143,55.791363,-23.9564778401639
12.522382,55.791322,-24.4705544458235
12.522631,55.791278,-24.7583401184568
12.522886,55.791232,-25.017642456701
12.523133,55.791187,-24.9418220252359
12.523362,55.791148,-24.602336389994
12.523617,55.790427,-24.0520040158163
12.523533,55.790268,-23.3740946715061
12.52345,55.790104,-22.4891993345016
12.523208,55.789692,-21.8084453888982
12.523121,55.789533,-21.0124090234534
12.523041,55.789382,-20.5649832581704
12.522969,55.789243,-20.1084071572575
12.522919,55.789155,-19.8867623496143
12.522845,55.789115,-19.7814346122404
12.522736,55.789124,-19.7843603349118
12.522574,55.789158,-19.9111528522171
12.522369,55.789191,-20.4170508245001
12.52215,55.78923,-20.8684872660337
12.521926,55.789267,-21.6731771365531
12.521701,55.789304,-22.7098495465265
12.521489,55.789337,-23.6329981468807
12.521287,55.789369,-24.7021768758503
12.521113,55.789397,-27.4259126721393
12.52094,55.789421,-29.0137522910304
12.520749,55.789443,-31.4302856060206
12.520561,55.78947,-33.4030669809378
12.519196,55.789286,-35.1308300867117
12.519137,55.789176,-35.8013665250336
12.519083,55.789078,-35.3117263622836
12.519026,55.788992,-34.2395199168482
12.518971,55.788916,-33.064445140845
12.518925,55.788841,-31.9264811396044
12.518881,55.788675,-30.5005665365819
12.518949,55.78861,-29.9548713661771
12.519069,55.788569,-29.750148501766
12.519464,55.78841,-29.4965734605747
12.519448,55.788375,-29.2010809789307
12.519447,55.788372,-29.0531381427293
12.51945,55.788375,-28.9178611174504
12.519458,55.788384,-28.6650265429715
12.519467,55.788399,-28.5694154842531
12.519476,55.788414,-28.4242049585347
12.519497,55.78843,-28.3320254107149
12.519523,55.78844,-28.2490402133823
12.519526,55.788442,-28.231825529918
12.519509,55.788442,-28.2279577791847
12.519464,55.78846,-28.2376532627261
12.519392,55.788504,-28.2611528575851
12.519281,55.788539,-28.3281021433946
12.519145,55.788568,-28.3887643328532
12.519024,55.788604,-28.5168475827676
12.518941,55.788667,-28.6388466315433
12.51893,55.78876,-28.7184369322185
12.519182,55.789213,-28.8469245682427
12.519252,55.789341,-28.992119897079
12.51931,55.789452,-29.1892028743275
12.519373,55.789554,-29.3063887410439
12.519474,55.789615,-29.5421647599822
12.519611,55.789626,-29.6798796020275
12.519779,55.789596,-29.9194690548504
12.521194,55.789308,-30.0780795695353
12.521194,55.78925,-30.3948166117947
12.52114,55.78916,-30.5778587564025
12.521075,55.789056,-31.085481674022
12.521012,55.788944,-31.5113400102809
12.520949,55.788828,-31.8225011028339
12.520884,55.788719,-32.151896115349
12.520822,55.788618,-32.50072640461
12.52078,55.788559,-32.8691883314214
12.520766,55.78853,-33.2578883334244
12.520758,55.788496,-33.5704295800772
12.52074,55.788446,-34.1691571905667
12.520707,55.78839,-38.6819712251062
12.520679,55.788323,-38.6643832302014
12.520698,55.788255,-38.6492366761733
12.520795,55.788208,-38.6330266326025
12.520918,55.788183,-38.616860803275
12.52105,55.788187,-38.5919997692664
12.521136,55.788235,-38.5759413992439
12.521169,55.788292,-38.5609624481582
12.521116,55.788351,-38.5437199287676
12.520998,55.78838,-38.5277416243078
12.520887,55.788402,-38.5128031174706
12.520805,55.788428,-38.4968404055839
12.520778,55.788467,-38.4807566093114
12.520792,55.788506,-38.4648428526865
12.520812,55.788538,-38.4489573977838
12.520839,55.788582,-38.4341156589651
12.520877,55.788647,-38.4182735271656
12.520923,55.788727,-38.4022995501684
12.521018,55.788791,-38.3864803773036
12.521063,55.788938,-38.3707033083304
12.521127,55.789057,-38.3559632747619
12.521183,55.789159,-38.3318632335438
12.521226,55.789239,-38.3160361911561
12.521245,55.78928,-38.3003312253315
12.521262,55.789312,-38.284667819026
12.521291,55.789334,-38.2700418493785
12.521374,55.789332,-38.2544191590637
12.521516,55.789303,-38.2376764876115
12.521704,55.789264,-38.2231167106549
12.521937,55.789217,-38.2075602748262
12.522174,55.789168,-38.1920804394454
12.522397,55.789123,-38.1775827050683
12.522593,55.78909,-38.1609765275383
12.522727,55.789065,-38.1455092906061
12.522786,55.789046,-38.1310782064096
12.52281,55.789037,-38.1156541693057
12.522868,55.789035,-38.0968884549754
12.522949,55.789079,-38.0651747456999
12.522992,55.789147,-38.0415600000798
12.523049,55.789259,-38.0208790697095
12.523124,55.789388,-38.0012009850223
12.523215,55.789551,-37.9768166259394
12.52331,55.789718,-37.9572184240211
12.523409,55.789911,-37.9366483665794
12.523513,55.790113,-37.9134375928575
12.523625,55.790296,-37.8929747028842
12.523726,55.790466,-37.8698835098838
12.523817,55.790623,-37.8504834025454
12.523887,55.790751,-37.8311513413625
12.523948,55.790881,-37.8072280110813
12.524674,55.790737,-37.7879847665347
12.524607,55.790629,-37.7688079680424
12.523966,55.789185,-37.7460479580748
12.524088,55.789168,-37.7163610792616
12.524225,55.789148,-37.6937437818347
12.524372,55.789122,-37.6747769134054
12.523787,55.788592,-37.6557936402546
12.523676,55.788613,-37.6333421147306
12.523601,55.788619,-37.6144429591844
12.52351,55.788593,-37.5956010543648
12.523444,55.788509,-37.5767988878811
12.52338,55.788389,-37.5580484843856
12.523299,55.788243,-37.5358616944239
12.523209,55.788085,-37.5171879605704
12.523118,55.787924,-37.498550983238
12.523028,55.787767,-37.4799282981636
12.522944,55.787619,-37.4579463305279
12.522883,55.787503,-37.4404411406532
12.522886,55.787415,-37.4229421480336
12.522974,55.787349,-37.3962848225709
12.523094,55.787309,-37.3822390170625
12.523224,55.787264,-37.3648563767128
12.523361,55.78722,-37.3484468169128
12.523494,55.78719,-37.3311358851156
12.523628,55.787163,-37.3138868163592
12.523759,55.787138,-37.2966294445749
12.523944,55.787104,-37.2794260756674
12.524061,55.787081,-37.2622853559555
12.523285,55.787367,-37.2451549296416
12.52318,55.787363,-37.232282368344
12.523076,55.787374,-37.2170917368748
12.522995,55.787388,-37.2019680256722
12.522966,55.787394,-37.1901185854612
12.522922,55.787399,-37.1750468231998
12.522825,55.787369,-37.1609813266069
12.522762,55.787293,-37.1412148688452
12.522704,55.787186,-37.126242564405
12.522627,55.787043,-37.1112842050432
12.522534,55.786882,-37.0995729240486
12.522435,55.786701,-37.0846637984354
12.522335,55.786521,-37.0698074958715
12.522227,55.786327,-37.0590671314612
12.522131,55.786162,-37.0452150029928
12.522049,55.786017,-37.0226149090151
12.521973,55.785894,-37.0097376614312
12.521913,55.785808,-36.9959928924461
12.521903,55.78579,-36.9863158117574
12.521902,55.785788,-36.9735653802511
12.521899,55.785787,-36.9598382106289
12.521896,55.785787,-36.9502214269182
12.521894,55.785788,-36.937526065018
12.521893,55.785787,-36.9168638373811
12.521884,55.785771,-36.9061221909085
12.521866,55.785708,-36.8953796735452
12.521923,55.785637,-36.8846592592991
12.522109,55.785591,-36.8730416692571
12.522354,55.785553,-36.8593476149283
12.522601,55.785518,-36.8487181236593
12.522809,55.785484,-36.8380973074079
12.522972,55.785465,-36.8265824132516
12.523102,55.785492,-36.8160069870819
12.523171,55.78555,-36.8054667951437
12.523196,55.785609,-36.7886899010387
12.523223,55.785664,-36.7751097291015
12.523291,55.785694,-36.7601188854708
12.523385,55.785688,-36.7466864037684
12.523494,55.78567,-36.7332595439642
12.522887,55.785974,-36.7134745321836
12.522774,55.785996,-36.7002200815502
12.522675,55.786015,-36.6855364586332
12.522568,55.786031,-36.6723879664358
12.522429,55.786001,-36.6577537685735
12.522396,55.78594,-36.6428549823042
12.522451,55.785884,-36.6327677011929
12.522562,55.785849,-36.6227822839101
12.522682,55.785825,-36.6128331291945
12.522808,55.785801,-36.6029247313923
12.522928,55.78578,-36.594478146257
12.523036,55.78576,-36.5846383425568
12.523106,55.785738,-36.5716113933993
12.523126,55.785698,-36.561816676609
12.523099,55.78565,-36.552116939045
12.523063,55.785603,-36.5424621332725
12.523048,55.785582,-36.5278838967947
12.523043,55.78558,-36.5183251469251
12.523014,55.785554,-36.511642535195
12.522928,55.785533,-36.503606420305
12.522806,55.78555,-36.4924770160827
12.522598,55.785588,-36.4859004899665
12.522327,55.785635,-36.4779713007039
12.522034,55.785687,-36.4715163560915
12.521735,55.785738,-36.4636525839422
12.521391,55.785795,-36.4572495363184
12.521037,55.785856,-36.4494501272321
12.520663,55.785919,-36.438591823319
12.520254,55.785991,-36.4322981239747
12.519872,55.786063,-36.4246102708079
12.51955,55.786122,-36.4183766217164
12.519326,55.78616,-36.4121142204966
12.519235,55.786192,-36.3997919651199
12.519219,55.786238,-36.3936754433264
12.519236,55.786284,-36.3875741206973
12.51926,55.786332,-36.3815130674176
12.519261,55.786371,-36.3724979632868
12.519208,55.786415,-36.3665030040175
12.519102,55.78644,-36.3605370912701
12.518996,55.78646,-36.3545978867346
12.518927,55.786479,-36.3486775744015
12.518898,55.786507,-36.3413460313603
12.518898,55.786547,-37.6522962748332
12.518923,55.786601,-37.6565915052095
12.518951,55.786652,-37.660885245988
12.518976,55.786696,-37.6659630879011
12.519012,55.786764,-37.6702537453398
12.519051,55.786841,-37.6745429143239
12.51909,55.786916,-37.6815685649454
12.519133,55.786989,-37.6858540867533
12.519175,55.787064,-37.6901381215855
12.519217,55.787141,-37.693635492568
12.519168,55.787071,-37.6971317422098
12.519034,55.786836,-37.6998423627099
12.518994,55.786765,-37.7021719979819
12.518957,55.786697,-37.7048815911652
12.518923,55.786635,-37.7087547872946
12.518889,55.786573,-37.7122462081857
12.518852,55.786509,-37.7137903500601
12.518811,55.786448,-37.7172801622185
12.518766,55.786388,-37.7199866706336
12.518735,55.78634,-37.7234745016483
12.518716,55.786314,-37.7261796933803
12.518654,55.786285,-37.7269414712419
12.518556,55.786286,-37.72730543054
12.5184,55.786312,-37.7265106747379
12.518168,55.786353,-37.726497835645
12.517894,55.7864,-37.7264868741834
12.517613,55.786445,-37.7264777880766
12.517336,55.786487,-37.7253083767602
12.517054,55.786525,-37.7253030302898
12.516764,55.786547,-36.9230935745903
12.516473,55.786556,-36.9318769114688
12.516187,55.786556,-36.9438045532201
12.515953,55.786552,-36.9557690295322
12.515801,55.786608,-36.9677575947684
12.515732,55.78671,-36.9765416034377
12.515719,55.786849,-36.9885716456763
12.515764,55.787019,-37.0006631772505
12.515848,55.787185,-37.0127345752397
12.516008,55.787349,-37.028609628767
12.516173,55.78749,-37.040735578032
12.51629,55.787595,-37.0496229021465
12.516338,55.787641,-37.0627785529324
12.516362,55.787669,-37.0726527534999
12.516392,55.787722,-37.0825545806798
12.516465,55.787802,-37.0924813547924
12.516584,55.787896,-37.1023793441129
12.516745,55.788024,-37.1194268961153
12.516916,55.788171,-37.1293549962644
12.517103,55.78834,-37.1393389435032
12.517297,55.788521,-37.1526134916165
12.517501,55.78871,-37.1626274318877
12.517712,55.788899,-37.1716544508457
12.517921,55.789106,-37.1835809424378
12.519735,55.79139,-37.198866539854
12.519896,55.791612,-37.2180514303183
12.52004,55.791831,-37.2290563869514
12.520202,55.792037,-37.2444712935801
12.520356,55.792241,-37.2564546694964
12.514985,55.785055,-37.2675443386964
12.515128,55.785019,-37.2829949479845
12.515244,55.784989,-37.2941036547469
12.515401,55.784978,-37.3062022697884
12.515587,55.784948,-37.3217266838676
12.515767,55.784907,-37.3338472754039
12.515961,55.784873,-37.3503939491287
12.516811,55.785017,-37.366977185965
12.516855,55.785089,-37.3801390284671
12.516885,55.785141,-37.3977498311901
12.516911,55.785188,-37.4144606563023
12.516941,55.785249,-37.4311472587633
12.516978,55.785326,-37.4537400952817
12.517022,55.785416,-37.4705617362042
12.517071,55.785508,-37.487359185624
12.517113,55.785587,-37.5016723760025
12.517138,55.785657,-37.5185285167468
12.5171,55.785716,-37.5364291423431
12.517034,55.785749,-37.5543947854381
12.517008,55.785756,-37.5733216638817
12.517009,55.785756,-37.5923458687062
12.517029,55.785752,-37.611384944305
12.517051,55.785747,-37.6304623506604
12.517052,55.785749,-37.6495719777301
12.517062,55.78575,-37.6677411075938
12.517104,55.78574,-37.6906093930936
12.517139,55.785732,-37.7098595747635
12.517154,55.785729,-37.7281776563123
12.517167,55.785725,-37.7581609273596
12.517159,55.785724,-37.7775120533873
12.517115,55.785714,-37.7969390774668
12.51709,55.785688,-37.8154280404449
12.517093,55.785643,-37.8349346176656
12.517076,55.785568,-37.8544559707284
12.517022,55.785472,-37.8740412792548
12.516955,55.785358,-37.8914970423835
12.516883,55.785235,-37.9057008276606
12.51682,55.78512,-37.918863986074
12.516765,55.785016,-37.9331096444367
12.516713,55.784925,-37.9484294701411
12.516627,55.784854,-37.9627087567139
12.516491,55.784822,-37.9770107227471
12.516339,55.784836,-37.9913426115155
12.516158,55.784871,-38.0056394748252
12.515937,55.78491,-38.0282531504361
12.515689,55.784952,-38.0426017772433
12.515435,55.784994,-38.059204599274
12.51517,55.785041,-38.0735985265367
12.514878,55.785094,-38.0880712037101
12.514593,55.785146,-38.1025595579816
12.515224,55.78362,-38.1170709234109
12.515443,55.78402,-38.1326197261666
12.515232,55.783627,-38.1483152804794
12.515133,55.783591,-38.1639151270174
12.515002,55.783601,-38.1784569588599
12.519525,55.783151,-38.1940966612002
12.519593,55.783162,-38.2097618451747
12.519718,55.783305,-38.2255902584871
12.519796,55.783429,-38.2413017793392
12.519886,55.783574,-38.2560109508131
12.519978,55.783717,-38.2813679769768
12.520075,55.783905,-38.2961275601461
12.520167,55.784085,-38.3118848582408
12.520547,55.784819,-38.3266982599661
12.520626,55.784971,-38.3415211994134
12.5207,55.785111,-38.3585916851479
12.520773,55.785246,-38.3734525196997
12.52084,55.785374,-38.3883541293771
12.5209,55.78549,-38.4032528682403
12.520973,55.785558,-38.4204288769697
12.521065,55.785589,-38.435369454365
12.521087,55.785634,-38.4503511446614
12.521028,55.785655,-38.4653260697491
12.520966,55.785635,-38.482609585249
12.520934,55.785588,-38.4976500232229
12.520899,55.785524,-38.5126862324497
12.520856,55.785444,-38.5352647299195
12.520806,55.785348,-38.5516777721417
12.520749,55.785234,-38.5667789859182
12.520684,55.785111,-38.5818642074905
12.520601,55.784967,-38.5959821591665
12.520507,55.784801,-38.6111353981395
12.520401,55.784611,-38.6276690984071
12.520295,55.78441,-38.6428074498138
12.519988,55.783839,-38.6580420435567
12.519856,55.783604,-38.6732948854267
12.519716,55.783368,-38.6875529535521
12.519597,55.783149,-38.7029405636005
12.52118,55.784255,-38.7172576328818
12.521299,55.784449,-38.7326771021169
12.521407,55.784645,-38.7480870304539
12.5215,55.784821,-38.7624813395928
12.521602,55.785006,-38.7870418348362
12.521697,55.785187,-38.8025403717402
12.521772,55.785329,-38.8169654015421
