,Longitude,Latitude,Speed,Distance,Distance_x,Distance_y,PCI,PCI_3,PCI_4,PCI_6,PCI_7,PCI_20,PCI_40,PCI_184,PCI_237
0,-78.9374389,36.0025354,-300.0,312.2424836988785,-0.0005264,-0.0025611,40,0,0,0,0,0,1,0,0
1,-78.9374389,36.0025354,-300.0,590.5683682946411,0.0024026,0.0053989,6,0,0,1,0,0,0,0,0
2,-78.9374389,36.0025354,-300.0,267.2555233819172,0.0003836,0.0018839,7,0,0,0,1,0,0,0,0
3,-78.9374389,36.0025354,-300.0,348.530648402301,-0.0025354,0.0004389,20,0,0,0,0,1,0,0,0
4,-78.9374523,36.0025282,-300.0,311.20120394961504,-0.0005192,-0.0025477,40,0,0,0,0,0,1,0,0
5,-78.9374523,36.0025282,-300.0,591.9250180722994,0.0024098,0.0054123,6,0,0,1,0,0,0,0,0
6,-78.9374523,36.0025282,-300.0,268.1530197996372,0.0003908,0.0018973,7,0,0,0,1,0,0,0,0
7,-78.9374523,36.0025282,-300.0,348.02561170425224,-0.0025282,0.0004523,20,0,0,0,0,1,0,0,0
8,-78.937451,36.0025334,-300.0,311.39502199047007,-0.0005244,-0.002549,40,0,0,0,0,0,1,0,0
9,-78.937451,36.0025334,-300.0,591.5679256248693,0.0024046,0.005411,6,0,0,1,0,0,0,0,0
10,-78.937451,36.0025334,-300.0,267.98553572854513,0.0003856,0.001896,7,0,0,0,1,0,0,0,0
11,-78.937451,36.0025334,-300.0,348.4771636240063,-0.0025334,0.000451,20,0,0,0,0,1,0,0,0
12,-78.9374645,36.0025382,-300.0,310.59803443762155,-0.0005292,-0.0025355,40,0,0,0,0,0,1,0,0
13,-78.9374645,36.0025382,-300.0,592.332451626743,0.0023998,0.0054245,6,0,0,1,0,0,0,0,0
14,-78.9374645,36.0025382,-300.0,268.67930926053765,0.0003808,0.0019095,7,0,0,0,1,0,0,0,0
15,-78.9374645,36.0025382,-300.0,349.05088711248953,-0.0025382,0.0004645,20,0,0,0,0,1,0,0,0
16,-78.9374954,36.0025201,-300.0,308.1774125792023,-0.0005111,-0.0025046,40,0,0,0,0,0,1,0,0
17,-78.9374954,36.0025201,-300.0,595.53688256556,0.0024179,0.0054554,6,0,0,1,0,0,0,0,0
18,-78.9374954,36.0025201,-300.0,270.793951221557,0.0003989,0.0019404,7,0,0,0,1,0,0,0,0
19,-78.9374954,36.0025201,-300.0,347.77927350167494,-0.0025201,0.0004954,20,0,0,0,0,1,0,0,0
20,-78.9375477,36.002451,-300.0,305.8132284049259,-0.000442,-0.0024523,40,0,0,0,0,0,1,0,0
21,-78.9375477,36.002451,-300.0,604.1230506856139,0.002487,0.0055077,6,0,0,1,0,0,0,0,0
22,-78.9375477,36.002451,-300.0,277.85910084945755,0.000468,0.0019927,7,0,0,0,1,0,0,0,0
23,-78.9375477,36.002451,-300.0,344.42904999519493,-0.002451,0.0005477,20,0,0,0,0,1,0,0,0
24,-78.9375516,36.0024127,-300.0,302.4912565273896,-0.0004037,-0.0024484,40,0,0,0,0,0,1,0,0
25,-78.9375516,36.0024127,-300.0,605.1537045309024,0.0025253,0.0055116,6,0,0,1,0,0,0,0,0
26,-78.9375516,36.0024127,-300.0,276.26971581356923,0.0005063,0.0019966,7,0,0,0,1,0,0,0,0
27,-78.9375516,36.0024127,-300.0,338.9780612481165,-0.0024127,0.0005516,20,0,0,0,0,1,0,0,0
28,-78.9375813,36.0023724,-300.0,299.90881432940506,-0.0003634,-0.0024187,40,0,0,0,0,0,1,0,0
29,-78.9375813,36.0023724,-300.0,609.4304838947925,0.0025656,0.0055413,6,0,0,1,0,0,0,0,0
30,-78.9375813,36.0023724,-300.0,278.9599208560997,0.0005466,0.0020263,7,0,0,0,1,0,0,0,0
31,-78.9375813,36.0023724,-300.0,335.8651972143708,-0.0023724,0.0005813,20,0,0,0,0,1,0,0,0
32,-78.9376409,36.0023349,-300.0,295.48649807121865,-0.0003259,-0.0023591,40,0,0,0,0,0,1,0,0
33,-78.9376829,36.0023103,-300.0,292.44790054445724,-0.0003013,-0.0023171,40,0,0,0,0,0,1,0,0
34,-78.9377579,36.0022848,-300.0,287.3411884704463,-0.0002758,-0.0022421,40,0,0,0,0,0,1,0,0
35,-78.937797,36.0022459,-300.0,285.02223598556805,-0.0002369,-0.002203,40,0,0,0,0,0,1,0,0
36,-78.9378319,36.0022047,-300.0,282.49254129623137,-0.0001957,-0.0021681,40,0,0,0,0,0,1,0,0
37,-78.9378567,36.0021644,-300.0,282.8816642489395,-0.0001554,-0.0021433,40,0,0,0,0,0,1,0,0
38,-78.9378885,36.0021174,-300.0,280.68257765943576,-0.0001084,-0.0021115,40,0,0,0,0,0,1,0,0
39,-78.9379204,36.0020728,-300.0,279.8284553627069,-6.38e-05,-0.0020796,40,0,0,0,0,0,1,0,0
40,-78.9379551,36.0020211,-300.0,275.86503900870224,-1.21e-05,-0.0020449,40,0,0,0,0,0,1,0,0
41,-78.93802,36.0019789,-300.0,273.9730701205718,3.01e-05,-0.00198,40,0,0,0,0,0,1,0,0
42,-78.9380811,36.0019465,-300.0,270.48412457335536,6.25e-05,-0.0019189,40,0,0,0,0,0,1,0,0
43,-78.9381168,36.0018916,-300.0,268.66313340670024,0.0001174,-0.0018832,40,0,0,0,0,0,1,0,0
44,-78.9381455,36.0018075,-300.0,266.64488788054206,0.0002015,-0.0018545,40,0,0,0,0,0,1,0,0
45,-78.9381814,36.0017585,-300.0,265.1419603476647,0.0002505,-0.0018186,40,0,0,0,0,0,1,0,0
46,-78.9382255,36.0017125,-300.0,263.29064411800266,0.0002965,-0.0017745,40,0,0,0,0,0,1,0,0
47,-78.9382689,36.0016715,-300.0,261.5439242309981,0.0003375,-0.0017311,40,0,0,0,0,0,1,0,0
48,-78.9382687,36.001619,-300.0,263.1926641516392,0.00039,-0.0017313,40,0,0,0,0,0,1,0,0
49,-78.938274,36.0015775,-300.0,263.73423897552465,0.0004315,-0.001726,40,0,0,0,0,0,1,0,0
50,-78.938326,36.0015466,-300.0,261.75408432473404,0.0004624,-0.001674,40,0,0,0,0,0,1,0,0
51,-78.938326,36.0015466,-300.0,711.2735425074794,0.0033914,0.006286,6,0,0,1,0,0,0,0,0
52,-78.938326,36.0015466,-300.0,358.7620973358498,0.0013724,0.002771,7,0,0,0,1,0,0,0,0
53,-78.938326,36.0015466,-300.0,294.6964925092029,-0.0015466,0.001326,20,0,0,0,0,1,0,0,0
54,-78.9383664,36.0015062,-300.0,260.90809605720096,0.0005028,-0.0016336,40,0,0,0,0,0,1,0,0
55,-78.9383664,36.0015062,-300.0,716.6659315521274,0.0034318,0.0063264,6,0,0,1,0,0,0,0,0
56,-78.9383664,36.0015062,-300.0,363.445967497105,0.0014128,0.0028114,7,0,0,0,1,0,0,0,0
57,-78.9384033,36.0014769,-300.0,259.8666887898657,0.0005321,-0.0015967,40,0,0,0,0,0,1,0,0
58,-78.9384033,36.0014769,-300.0,721.0799831056455,0.0034611,0.0063633,6,0,0,1,0,0,0,0,0
59,-78.9384033,36.0014769,-300.0,367.2517699727858,0.0014421,0.0028483,7,0,0,0,1,0,0,0,0
60,-78.9384033,36.0014769,-300.0,293.5708435551683,-0.0014769,0.0014033,20,0,0,0,0,1,0,0,0
61,-78.9384434,36.0014298,-300.0,259.1726358080985,0.0005792,-0.0015566,40,0,0,0,0,0,1,0,0
62,-78.9384434,36.0014298,-300.0,726.7617962166269,0.0035082,0.0064034,6,0,0,1,0,0,0,0,0
63,-78.9384434,36.0014298,-300.0,372.11151109189717,0.0014892,0.0028884,7,0,0,0,1,0,0,0,0
64,-78.9384434,36.0014298,-300.0,292.31744685426725,-0.0014298,0.0014434,20,0,0,0,0,1,0,0,0
65,-78.938483,36.0013884,-300.0,258.56411173167925,0.0006206,-0.001517,40,0,0,0,0,0,1,0,0
66,-78.9385255,36.0013668,-300.0,257.2381678346047,0.0006422,-0.0014745,40,0,0,0,0,0,1,0,0
67,-78.9385565,36.0013276,-300.0,257.3469961448005,0.0006814,-0.0014435,40,0,0,0,0,0,1,0,0
68,-78.9385565,36.0013276,-300.0,741.1124319461918,0.0036104,0.0065165,6,0,0,1,0,0,0,0,0
69,-78.9385565,36.0013276,-300.0,384.69154798753493,0.0015914,0.0030015,7,0,0,0,1,0,0,0,0
70,-78.9385565,36.0013276,-300.0,291.49144362344794,-0.0013276,0.0015565,20,0,0,0,0,1,0,0,0
71,-78.938603,36.0012875,-300.0,258.03931973893987,0.0007215,-0.001397,40,0,0,0,0,0,1,0,0
72,-78.938603,36.0012875,-300.0,747.3382246799091,0.0036505,0.006563,6,0,0,1,0,0,0,0,0
73,-78.938603,36.0012875,-300.0,390.6448779609983,0.0016315,0.003048,7,0,0,0,1,0,0,0,0
74,-78.938603,36.0012875,-300.0,292.58917402101736,-0.0012875,0.001603,20,0,0,0,0,1,0,0,0
75,-78.9386182,36.0012288,-300.0,258.00867354525406,0.0007802,-0.0013818,40,0,0,0,0,0,1,0,0
76,-78.9386182,36.0012288,-300.0,751.4649366035014,0.0037092,0.0065782,6,0,0,1,0,0,0,0,0
77,-78.9386182,36.0012288,-300.0,393.702233334238,0.0016902,0.0030632,7,0,0,0,1,0,0,0,0
78,-78.9386182,36.0012288,-300.0,288.8427928314957,-0.0012288,0.0016182,20,0,0,0,0,1,0,0,0
79,-78.9386481,36.001172,-300.0,260.37035834315293,0.000837,-0.0013519,40,0,0,0,0,0,1,0,0
80,-78.9386481,36.001172,-300.0,757.5553210033368,0.003766,0.0066081,6,0,0,1,0,0,0,0,0
81,-78.9386481,36.001172,-300.0,399.573897756942,0.001747,0.0030931,7,0,0,0,1,0,0,0,0
82,-78.9386481,36.001172,-300.0,288.6225057088051,-0.001172,0.0016481,20,0,0,0,0,1,0,0,0
83,-78.9386481,36.001172,-300.0,317.5189748063594,0.001828,-0.0013749,237,0,0,0,0,0,0,0,1
84,-78.9386762,36.0011245,-300.0,261.1288630155885,0.0008845,-0.0013238,40,0,0,0,0,0,1,0,0
85,-78.9386762,36.0011245,-300.0,762.4619114425994,0.0038135,0.0066362,6,0,0,1,0,0,0,0,0
86,-78.9386762,36.0011245,-300.0,403.9182896915082,0.0017945,0.0031212,7,0,0,0,1,0,0,0,0
87,-78.9386762,36.0011245,-300.0,287.60967194660475,-0.0011245,0.0016762,20,0,0,0,0,1,0,0,0
88,-78.9386998,36.0010804,-300.0,262.0483015294245,0.0009286,-0.0013002,40,0,0,0,0,0,1,0,0
89,-78.9386998,36.0010804,-300.0,766.8534099065104,0.0038576,0.0066598,6,0,0,1,0,0,0,0,0
90,-78.9386998,36.0010804,-300.0,407.8293120237797,0.0018386,0.0031448,7,0,0,0,1,0,0,0,0
91,-78.9386998,36.0010804,-300.0,286.65287671752367,-0.0010804,0.0016998,20,0,0,0,0,1,0,0,0
92,-78.9387147,36.0010473,-300.0,262.9191754227635,0.0009617,-0.0012853,40,0,0,0,0,0,1,0,0
