,SINR,RSRP,RSRQ,Power
0,2.9992357,-77,-6,-77
1,-47.7645312,-123,-12,-123
2,-43.7644213,-119,-10,-119
3,-3.0003831,-80,-7,-80
4,2.9994374,-74,-7,-74
5,-47.7644638,-120,-9,-120
6,-45.7644213,-118,-9,-118
7,-3.000282,-77,-7,-77
8,0.9990941,-82,-5,-82
9,-46.5393236,-126,-12,-126
10,-41.5391153,-121,-10,-121
11,-1.0007196,-83,-7,-83
12,2.9947936,-83,-6,-83
13,-41.7657983,-123,-11,-123
14,-34.7646379,-116,-8,-116
15,-3.0026101,-86,-7,-86
16,1.991092,-83,-6,-83
17,-35.1265407,-116,-9,-116
18,-33.1257604,-114,-9,-114
19,-2.0056227,-85,-6,-85
20,2.991092,-82,-6,-82
21,-35.7661736,-116,-9,-116
22,-33.7655002,-114,-9,-114
23,-3.0044669,-85,-6,-85
24,18.993106,-79,-6,-79
25,-50.054376,-129,-20,-129
26,-50.054376,-129,-20,-129
27,-19.0000869,-98,-19,-98
28,4.994523,-80,-6,-80
29,-38.1939688,-117,-8,-117
30,-38.1939688,-117,-9,-117
31,-5.0017327,-85,-7,-85
32,300.0,-79,-6,-79
33,300.0,-78,-6,-78
34,300.0,-81,-6,-81
35,300.0,-82,-6,-82
36,300.0,-83,-6,-83
37,300.0,-84,-6,-84
38,300.0,-87,-6,-87
39,300.0,-91,-6,-91
40,300.0,-88,-6,-88
41,300.0,-91,-6,-91
42,300.0,-93,-6,-93
43,300.0,-93,-6,-93
44,300.0,-92,-6,-92
45,300.0,-93,-6,-93
46,300.0,-94,-6,-94
47,300.0,-97,-6,-97
48,300.0,-98,-6,-98
49,300.0,-98,-6,-98
50,2.3129129,-97,-6,-97
51,-10.6471053,-106,-7,-106
52,-13.8298488,-109,-8,-109
53,-4.7517757,-101,-7,-101
54,2.875574,-98,-5,-98
55,-8.1933105,-105,-7,-105
56,-5.7900975,-103,-7,-103
57,2.0030654,-98,-5,-98
58,-13.9518439,-110,-7,-110
59,-7.3966614,-104,-7,-104
60,-6.1868935,-103,-7,-103
61,0.3841794,-98,-6,-98
62,-11.5271876,-107,-7,-107
63,-10.4473465,-106,-7,-106
64,-3.0869416,-100,-7,-100
65,300.0,-99,-6,-99
66,300.0,-101,-6,-101
67,-1.5900149,-102,-7,-102
68,-12.6478126,-111,-7,-111
69,-1.5900149,-102,-7,-102
70,-8.2754131,-107,-7,-107
71,-6.1378505,-104,-7,-104
72,-11.8062872,-109,-7,-109
73,2.1059276,-99,-7,-99
74,-8.511331,-106,-7,-106
75,-4.8298488,-102,-6,-102
76,-11.7859229,-108,-7,-108
77,-0.1080307,-99,-7,-99
78,-6.1140885,-103,-7,-103
79,-2.0899269,-103,-6,-103
80,-8.6207231,-108,-7,-108
81,-3.6095925,-104,-7,-104
82,-6.2569328,-106,-7,-106
83,-26.1693048,-125,-20,-125
84,-6.015453,-104,-6,-104
85,-6.015453,-104,-7,-104
86,-1.7712125,-101,-7,-101
87,-6.015453,-104,-7,-104
88,-5.511331,-101,-7,-101
89,-6.7554288,-102,-7,-102
90,0.8919693,-97,-7,-97
91,-12.3409568,-107,-7,-107
92,-0.8062872,-100,-6,-100
93,-8.9066167,-106,-8,-106
94,-2.4911991,-101,-7,-101
95,-11.1080307,-108,-8,-108
96,-0.8062872,-100,-6,-100
97,-8.9066167,-106,-8,-106
98,-2.4911991,-101,-7,-101
99,-11.1080307,-108,-8,-108
100,-1.8062872,-101,-6,-101
101,-8.4232915,-106,-8,-106
102,-1.8062872,-101,-7,-101
103,-10.6478126,-108,-8,-108
104,-6.1378505,-101,-6,-101
105,-8.511331,-103,-7,-103
106,2.1059276,-96,-7,-96
107,-11.8062872,-106,-7,-106
108,-2.9518439,-101,-6,-101
109,-8.1080307,-105,-8,-105
110,-1.3409568,-100,-8,-100
111,-9.2439688,-106,-6,-106
112,-2.6088022,-104,-6,-104
113,-4.0729586,-105,-8,-105
114,-7.8476288,-108,-19,-108
115,-5.4092681,-106,-6,-106
116,-1.6088022,-103,-6,-103
117,-4.5945411,-105,-8,-105
118,-8.2881665,-108,-19,-108
119,-5.8940724,-106,-6,-106
120,-9.9882749,-104,-6,-104
121,-3.9269333,-99,-7,-99
122,1.3129129,-96,-7,-96
123,-13.2002346,-107,-7,-107
124,-6.7859229,-104,-6,-104
125,-6.7859229,-104,-7,-104
